id,latitude,longitude,price,minimum_nights,,,,,,,,
92668,51.41337,0.02665,35,1,,,,,,,,
93015,51.50178,-0.21627,180,3,,,,,,,,
93263,51.41562,-0.19489,80,30,,,,,,,,
93457,51.53901,-0.13596,100,2,,,,,,,,
93500,51.46441,-0.12669,54,2,,,,,,,,
93779,51.52687,-0.06347,220,2,,,,,,,,
93783,51.51826,-0.19499,300,2,,,,,,,,
94138,51.52807,-0.05133,70,2,,,,,,,,
96008,51.43923,-0.10421,80,2,,,,,,,,
96052,51.55786,-0.2263,45,3,,,,,,,,
96640,51.57204,-0.08339,100,1,,,,,,,,
97124,51.49149,-0.18508,70,1,,,,,,,,
97178,51.52099,-0.22852,45,2,,,,,,,,
97209,51.55457,-0.03643,80,14,,,,,,,,
97506,51.42875,-0.12056,35,2,,,,,,,,
97583,51.60796,-0.12551,39,3,,,,,,,,
97974,51.46587,-0.23632,75,2,,,,,,,,
98271,51.5139,-0.29568,50,1,,,,,,,,
98541,51.57419,-0.13958,88,8,,,,,,,,
98750,51.47845,-0.19328,120,3,,,,,,,,
99241,51.509,-0.19948,99,1,,,,,,,,
99251,51.54126,-0.10228,157,2,,,,,,,,
99333,51.5468,-0.10667,118,2,,,,,,,,
100326,51.56485,-0.05612,31,2,,,,,,,,
100479,51.52715,-0.05594,55,1,,,,,,,,
101083,51.47828,-0.12944,85,2,,,,,,,,
102391,51.54647,-0.05664,140,1,,,,,,,,
102565,51.50615,-0.1078,95,3,,,,,,,,
103682,51.53327,-0.03004,60,2,,,,,,,,
103865,51.48815,-0.22315,78,3,,,,,,,,
105532,51.58903,-0.01658,28,3,,,,,,,,
106332,51.5296,-0.05364,55,3,,,,,,,,
107048,51.52407,-0.10554,130,3,,,,,,,,
107051,51.52116,-0.18359,160,2,,,,,,,,
108096,51.52279,-0.17645,55,2,,,,,,,,
108529,51.47259,-0.08872,70,2,,,,,,,,
108562,51.56804,-0.11204,30,1,,,,,,,,
111255,51.47561,-0.05988,60,1,,,,,,,,
116268,51.61308,-0.11829,25,7,,,,,,,,
117203,51.50067,-0.23288,99,4,,,,,,,,
118805,51.51643,-0.12111,60,2,,,,,,,,
118832,51.54926,-0.11551,110,2,,,,,,,,
123522,51.52575,-0.19782,99,2,,,,,,,,
127652,51.5573,-0.14269,120,14,,,,,,,,
127860,51.44715,-0.33925,1000,2,,,,,,,,
128581,51.52618,-0.06273,75,2,,,,,,,,
