listing_url,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,,,
https://www.airbnb.com/rooms/241032,47.63628904,-122.3710252,4,1,1,1,85,,,
https://www.airbnb.com/rooms/953595,47.63912312,-122.3656665,4,1,1,1,150,,,
https://www.airbnb.com/rooms/3308979,47.62972413,-122.3694832,11,4.5,5,7,975,,,
https://www.airbnb.com/rooms/7421966,47.6384732,-122.3692791,3,1,0,2,100,,,
https://www.airbnb.com/rooms/278830,47.6329184,-122.3724706,6,2,3,3,450,,,
https://www.airbnb.com/rooms/5956968,47.63052548,-122.3661741,2,1,1,1,120,,,
https://www.airbnb.com/rooms/1909058,47.63660545,-122.3685191,2,1,1,1,80,,,
https://www.airbnb.com/rooms/856550,47.64016054,-122.375856,2,1,1,1,60,,,
https://www.airbnb.com/rooms/4948745,47.6324103,-122.3572161,2,1,1,1,90,,,
https://www.airbnb.com/rooms/2493658,47.63749172,-122.3668886,4,1,1,1,150,,,
https://www.airbnb.com/rooms/175576,47.63548171,-122.3584778,2,1,1,1,95,,,
https://www.airbnb.com/rooms/4454295,47.63721408,-122.3600458,2,1,1,1,99,,,
https://www.airbnb.com/rooms/3883392,47.63554551,-122.3731708,4,1,2,3,245,,,
https://www.airbnb.com/rooms/8889257,47.62950681,-122.3676293,5,1,2,3,165,,,
https://www.airbnb.com/rooms/5680462,47.63920266,-122.3658627,16,3.5,6,15,461,,,
https://www.airbnb.com/rooms/8988178,47.63564979,-122.3728928,5,1,2,2,109,,,
https://www.airbnb.com/rooms/3245876,47.62620037,-122.3666019,2,1,1,1,66,,,
https://www.airbnb.com/rooms/4933447,47.64064588,-122.3724059,2,1,1,1,99,,,
https://www.airbnb.com/rooms/7735464,47.63977587,-122.3722354,2,2,1,1,200,,,
https://www.airbnb.com/rooms/6291829,47.63602478,-122.3586936,10,3.5,5,5,700,,,
https://www.airbnb.com/rooms/9218403,47.62794034,-122.3649587,1,1,1,1,110,,,
https://www.airbnb.com/rooms/4125779,47.63637426,-122.3610334,3,1.5,1,2,99,,,
https://www.airbnb.com/rooms/8942678,47.63563222,-122.3588809,8,2,4,4,450,,,
https://www.airbnb.com/rooms/10106055,47.63339396,-122.3719199,2,1,1,1,75,,,
https://www.airbnb.com/rooms/6362362,47.63851671,-122.369581,5,2.5,3,3,600,,,
https://www.airbnb.com/rooms/3544550,47.63139735,-122.3677669,8,2.5,3,5,450,,,
https://www.airbnb.com/rooms/9025039,47.63875224,-122.3679727,5,1,2,3,150,,,
https://www.airbnb.com/rooms/3200646,47.63926602,-122.3747258,2,1,1,1,45,,,
https://www.airbnb.com/rooms/8859380,47.62990712,-122.3689481,6,2,3,3,300,,,
https://www.airbnb.com/rooms/4520099,47.63981587,-122.3743385,3,1,1,2,80,,,
https://www.airbnb.com/rooms/2481869,47.63900778,-122.3653201,4,1,1,1,175,,,
https://www.airbnb.com/rooms/1110749,47.63508504,-122.3644435,6,1.5,3,3,325,,,
https://www.airbnb.com/rooms/5978498,47.64063323,-122.3727094,4,3,3,2,175,,,
https://www.airbnb.com/rooms/5021081,47.63812149,-122.37579,7,3.5,4,3,222,,,
https://www.airbnb.com/rooms/1686930,47.62981553,-122.3662123,4,1,2,2,159,,,
https://www.airbnb.com/rooms/7680289,47.63981019,-122.3738006,4,1,1,2,125,,,
https://www.airbnb.com/rooms/7207641,47.63556952,-122.3616526,8,3,3,3,348,,,
https://www.airbnb.com/rooms/5062445,47.63497873,-122.3588694,1,1,1,1,45,,,
https://www.airbnb.com/rooms/8925878,47.6393621,-122.3724026,4,1,1,2,150,,,
https://www.airbnb.com/rooms/6389657,47.63461628,-122.3580227,2,1,0,1,80,,,
https://www.airbnb.com/rooms/4218733,47.63800138,-122.3610048,4,1,1,2,110,,,
https://www.airbnb.com/rooms/2715623,47.63199585,-122.3716577,3,1,1,2,148,,,
https://www.airbnb.com/rooms/1392332,47.63868624,-122.3707999,4,1.5,2,2,350,,,
https://www.airbnb.com/rooms/7308567,47.63365004,-122.3604497,3,1.5,1,2,150,,,
https://www.airbnb.com/rooms/6575380,47.63430018,-122.3570598,5,1,1,1,150,,,
https://www.airbnb.com/rooms/6004058,47.62834387,-122.3664054,2,1,0,1,100,,,
https://www.airbnb.com/rooms/9550869,47.63539394,-122.3689911,10,3,4,4,349,,,
https://www.airbnb.com/rooms/8515408,47.63803516,-122.3609101,2,1,0,1,110,,,
https://www.airbnb.com/rooms/5383192,47.63933159,-122.3615994,4,1,1,2,160,,,
https://www.airbnb.com/rooms/1112092,47.63530805,-122.3665317,4,1,1,3,130,,,
https://www.airbnb.com/rooms/7772661,47.63737488,-122.3694109,2,1,0,1,99,,,
https://www.airbnb.com/rooms/9254900,47.63829757,-122.3737787,2,1,0,1,100,,,
https://www.airbnb.com/rooms/7714294,47.63175344,-122.3712717,3,1,1,1,137,,,
https://www.airbnb.com/rooms/10310373,47.63858056,-122.3753257,3,1,1,1,20,,,
https://www.airbnb.com/rooms/9368342,47.63788372,-122.3673711,2,1.5,1,1,150,,,
https://www.airbnb.com/rooms/6361863,47.63751735,-122.3608117,2,1,1,1,145,,,
https://www.airbnb.com/rooms/8105221,47.63687418,-122.3722717,2,1,1,1,80,,,
https://www.airbnb.com/rooms/3269390,47.63256274,-122.3672228,2,1,0,1,95,,,
https://www.airbnb.com/rooms/4566393,47.63532192,-122.3661211,4,2.5,3,3,400,,,
https://www.airbnb.com/rooms/9282409,47.63263391,-122.3693184,2,2,1,1,85,,,
https://www.airbnb.com/rooms/8095168,47.63260004,-122.3699524,2,1,1,1,70,,,
https://www.airbnb.com/rooms/2746782,47.64105215,-122.3750817,2,1,0,1,90,,,
https://www.airbnb.com/rooms/6424982,47.63140095,-122.3676901,2,1,1,1,80,,,
https://www.airbnb.com/rooms/762029,47.64152493,-122.3761504,2,1,1,2,60,,,
https://www.airbnb.com/rooms/8988281,47.6353107,-122.3635056,4,1,2,2,175,,,
https://www.airbnb.com/rooms/7077910,47.66932717,-122.3925936,6,2.5,3,4,170,,,
https://www.airbnb.com/rooms/3772674,47.67407416,-122.3938641,2,1,1,1,85,,,
https://www.airbnb.com/rooms/7021906,47.67362807,-122.389302,12,3.5,5,7,465,,,
https://www.airbnb.com/rooms/7618605,47.66845996,-122.379516,2,1,1,1,175,,,
https://www.airbnb.com/rooms/10234558,47.67066232,-122.3786659,2,1,1,1,50,,,
https://www.airbnb.com/rooms/7021702,47.67264618,-122.389333,2,1,1,1,60,,,
https://www.airbnb.com/rooms/7680439,47.67317538,-122.3822596,2,1,1,1,59,,,
https://www.airbnb.com/rooms/4258515,47.667933,-122.3786525,4,1,1,4,47,,,
https://www.airbnb.com/rooms/1148517,47.67296864,-122.3973382,4,1,2,2,145,,,
https://www.airbnb.com/rooms/2487892,47.66862742,-122.3894959,2,1,1,1,70,,,
https://www.airbnb.com/rooms/3038772,47.67011138,-122.3938693,2,1,1,1,55,,,
https://www.airbnb.com/rooms/699460,47.6716905,-122.3852391,4,1,1,2,95,,,
https://www.airbnb.com/rooms/4085439,47.67083618,-122.3925371,2,1,1,1,125,,,
https://www.airbnb.com/rooms/8053990,47.67088677,-122.3930293,2,1,1,1,65,,,
https://www.airbnb.com/rooms/7011773,47.67011497,-122.3929944,1,1,1,1,25,,,
https://www.airbnb.com/rooms/2467550,47.67430793,-122.3767423,4,1,0,2,40,,,
https://www.airbnb.com/rooms/2686374,47.67125039,-122.3826391,6,1,3,4,149,,,
https://www.airbnb.com/rooms/1956274,47.66869206,-122.3960894,2,1.5,1,1,125,,,
https://www.airbnb.com/rooms/8537192,47.67180552,-122.3880471,2,0.5,1,1,55,,,
https://www.airbnb.com/rooms/5919096,47.6714184,-122.3853854,4,1,1,3,129,,,
https://www.airbnb.com/rooms/6516529,47.66874895,-122.38387,2,1,1,1,100,,,
https://www.airbnb.com/rooms/3294243,47.67268172,-122.3877307,4,2,2,2,150,,,
https://www.airbnb.com/rooms/10210971,47.66968185,-122.3909885,1,1,1,1,50,,,
